   vethb546762    
 KB/s in  KB/s out
101234.6  112304.0
94790.84  105153.4
102966.3  114213.1
96843.45  107461.3
98132.26  108809.5
97701.22  108367.3
101676.8  112808.0
101848.8  112967.4
100393.8  111350.6
   vethb546762    
 KB/s in  KB/s out
99822.26  110748.9
99091.10  109922.5
97252.67  107879.1
97824.17  108523.2
93523.15  103725.4
97703.72  108383.5
100516.7  111497.4
95178.96  105580.6
97311.13  107953.4
99187.83  110036.3
99500.39  110359.0
98161.77  108898.1
105745.4  117289.7
98182.61  108918.0
96044.23  106530.5
97402.88  108064.8
98238.48  108949.9
100950.0  111981.9
101286.8  112353.1
98156.87  108911.3
96453.48  106973.7
101677.8  112770.8
   vethb546762    
 KB/s in  KB/s out
101329.4  112414.4
99155.41  110025.1
100313.6  111243.1
100940.1  111956.4
98615.23  109420.7
99690.82  110575.3
102917.3  114152.4
100322.1  111293.4
91638.59  101648.3
94103.26  104398.6
98462.17  109199.1
93137.84  103309.0
97343.92  107992.2
93961.32  104212.9
99448.41  110344.8
100973.7  112011.8
97220.23  107815.8
93272.17  103488.4
99146.16  109953.6
99419.34  110283.4
94241.27  104531.4
95391.07  105844.8
   vethb546762    
 KB/s in  KB/s out
97671.36  108315.8
109993.9  122032.7
117545.4  130362.0
83720.37  92834.38
 5413.15   5995.48
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
   vethb546762    
 KB/s in  KB/s out
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
   vethb546762    
 KB/s in  KB/s out
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
     n/a       n/a
     n/a       n/a
     n/a       n/a
     n/a       n/a
     n/a       n/a
     n/a       n/a
     n/a       n/a
     n/a       n/a
     n/a       n/a
   vethb546762    
 KB/s in  KB/s out
     n/a       n/a
     n/a       n/a
